bert-base-uncased,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
bert-large-uncased,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
bert-base-cased,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
bert-large-cased,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
bert-base-multilingual-cased,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
bert-base-chinese,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
bert-wwm-chinese,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
bert-wwm-ext-chinese,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
simbert-base-chinese,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
ernie-1.0,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,layer_norm,lookup_table_v2,matmul,matmul_v2,relu,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
ernie-tiny,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,layer_norm,lookup_table_v2,matmul,matmul_v2,relu,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
ernie-2.0-en,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
ernie-2.0-en-finetuned-squad,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
ernie-2.0-large-en,,,"cast,cumsum,dropout,elementwise_add,elementwise_sub,equal,fill_any_like,fill_constant,gelu,layer_norm,lookup_table_v2,matmul,matmul_v2,reshape2,scale,slice,softmax,tanh,transpose2,unsqueeze2",None
waybill_ie,,,"arg_max,assign,cast,concat,elementwise_add,elementwise_mul,expand_v2,fill_constant,fill_constant_batch_size_like,flip,less_than,lookup_table_v2,matmul,range,reduce_max,rnn,scale,shape,slice,tensor_array_to_tensor,transpose2,unsqueeze2,while","assign,flip,less_than,reduce_max,tensor_array_to_tensor,while"
transformer/base,,,"assign_value,cast,dropout,elementwise_add,elementwise_mul,equal,expand,fill_constant,fill_constant_batch_size_like,fill_zeros_like,gather_tree,layer_norm,logical_not,lookup_table_v2,matmul,matmul_v2,not_equal,range,reduce_all,relu,reshape2,scale,shape,slice,softmax,tensor_array_to_tensor,transpose2,unsqueeze2,while","expand,fill_zeros_like,gather_tree,not_equal,reduce_all,tensor_array_to_tensor,while"
transformer/big,,,"assign_value,cast,dropout,elementwise_add,elementwise_mul,equal,expand,fill_constant,fill_constant_batch_size_like,fill_zeros_like,gather_tree,layer_norm,logical_not,lookup_table_v2,matmul,matmul_v2,not_equal,range,reduce_all,relu,reshape2,scale,shape,slice,softmax,tensor_array_to_tensor,transpose2,unsqueeze2,while","expand,fill_zeros_like,gather_tree,not_equal,reduce_all,tensor_array_to_tensor,while"
